StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3,Q4,Q5,Q7,Q8,Q9,Q10,Q19,Q20,Q21,Q23,Q24,Q25,Q26,awb_1,awb_2,awb_3,awb_4,awb_5,awb_6,awb_7,awb_8,rac_prog,slb_1,slb_2,slb_3,slb_4,slb_5,slb_6,slb_7,slb_8,slb_9,slb_10,slb_11,slb_12,US,age,gender,race,race_5_TEXT,MID,condition
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Please write a few sentences summarizing
the article you just read.",What was the tone of the article?,"How compelling or convincing were the facts
presented in the article?","Which of the following statements is true of the
Jets?",What is true about the Jets’ team members?,"Swim pundits believe there is a chance that team
USA will be made up of the Jets team members.",The Jets are obviously a talented team.,"Please write a few sentences summarizing
the article you just read.",What was the tone of the article?,"How compelling or convincing were the facts
presented in the article?","What is true of the incomes of racial minorities
who graduate from college?","Which of the following statements are true
of White college students?","In the article, Barack Obama is described as an example of racial progress that is representative of all Blacks.","Blacks in general are making a great deal of progress in the
US.",Prejudice and discrimination against Whites are on the rise.,Whites are victims of racial bias.,Whites do not experience racism.,Whites experience discrimination from Blacks.,Whites experience discrimination from other Whites.,Blacks and other racial groups benefit from preferential treatment that disadvantages Whites.,Reverse racism (where racial minorities are favored over Whites) is pervasive.,Only racial minorities experience negative outcomes based on their race.,"Blacks in the U.S. are better off now (financially, politically, etc.) than they ever have been.",If people work hard they almost always get what they want.,"Most people who don't get ahead should not blame the system; they really
have only themselves to blame.","In America, getting ahead doesn't always depend on hard work.","Even if people work hard, they don't always get ahead.","America is an open society where individuals of any ethnicity can achieve
higher status.","Advancement in American society is possible for individuals of all ethnic
groups.",Individual members of a low-status ethnic group have difficulty achieving higher status.,"Individual members of certain ethnic groups are often unable to advance
in American society.",America is a just society where differences in status between ethnic groups reflects actual group differences.,Differences in status between ethnic groups are fair.,Differences in status between ethnic groups are the result of injustice.,"It is unfair that certain ethnic groups have poorer living conditions than
other ethnic groups.",Were you born in the United States?,How old are you (in years)?,What is your gender?,What is your race/ethnicity? - Selected Choice,What is your race/ethnicity? - Other - Text,MID,condition
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID32""}","{""ImportId"":""QID31""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID15""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53_TEXT""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55""}","{""ImportId"":""QID55_5_TEXT""}","{""ImportId"":""MID""}","{""ImportId"":""condition""}"
2018-10-23 13:27:47,2018-10-23 13:34:50,0,170.171.1.37,100,423,1,2018-10-23 13:34:50,R_pyNiQywGuIrwead,,,,,40.765106201171875,-73.98580169677734375,anonymous,EN,,,,,,,,That racial minorities are gaining more equality in the United States and that in the future race will not determine social class or wealth.,3,8,1,4,2,4,7,7,1,6,1,7,7,1,1,7,7,1,1,5,1,2,2,7,7,1,1,1,27,2,5,,,treatment
2018-10-23 21:18:54,2018-10-23 21:20:06,0,128.12.245.4,100,72,1,2018-10-23 21:20:06,R_3hA2mePbLmrdhOz,,,,,37.4235992431640625,-122.161895751953125,anonymous,EN,,,,,,,,"There is racial progress in the U.S. ",5,4,2,3,1,4,6,6,7,5,7,6,4,6,6,7,5,7,7,6,4,5,5,6,6,4,5,1,25,2,5,,,treatment
2018-10-23 21:28:33,2018-10-23 21:29:36,0,128.12.245.4,100,63,1,2018-10-23 21:29:37,R_1jJqdhtrrRsWjib,,,,,37.4235992431640625,-122.161895751953125,anonymous,EN,,,,,,,,"Racial progress is happening in the U.S. ",4,3,2,2,1,5,5,6,3,5,2,6,5,2,5,6,4,6,4,3,6,3,6,4,4,7,5,1,25,2,5,,,treatment
2018-10-23 21:29:47,2018-10-23 21:30:53,0,128.12.245.4,100,66,1,2018-10-23 21:30:53,R_TuxAqoBb2BgFWTf,,,,,37.4235992431640625,-122.161895751953125,anonymous,EN,"A swim team wins the championship. ",7,3,2,2,2,4,,,,,,,,3,6,6,4,4,3,4,3,6,7,3,4,4,2,6,4,4,6,4,7,5,1,56,1,3,,,control
2018-10-25 20:07:39,2018-10-25 20:09:55,0,171.66.208.6,100,136,1,2018-10-25 20:09:57,R_b8wNYeuDcMXAfJL,,,,,37.4235992431640625,-122.161895751953125,anonymous,EN,,,,,,,,Hello,7,7,3,4,2,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,,3,6,,,treatment
2018-10-28 12:59:35,2018-10-28 13:00:30,0,73.96.114.176,100,54,1,2018-10-28 13:00:30,R_svgJd0DCQtpTuE1,,,,,45.4403076171875,-122.779296875,anonymous,EN,Swim team wins,5,4,3,2,2,3,,,,,,,,4,2,5,2,3,7,5,4,4,3,5,4,5,5,4,5,5,5,3,4,6,1,29,1,3,,,control
2018-10-28 23:48:15,2018-10-28 23:49:39,0,128.12.245.4,100,83,1,2018-10-28 23:49:40,R_ywKQEFN4t5K1U09,,,,,37.4235992431640625,-122.161895751953125,anonymous,EN,,,,,,,,"Minorities in America ",5,4,3,3,2,3,5,6,2,2,4,6,5,6,6,6,3,5,3,6,6,5,4,5,5,6,2,2,52,3,"1,5",,,treatment
2018-10-28 23:52:58,2018-10-28 23:54:07,0,128.12.245.4,100,68,1,2018-10-28 23:54:07,R_1GBQ0D4rg4heRHz,,,,,37.4235992431640625,-122.161895751953125,anonymous,EN,"Swimmers win championship ",4,7,3,1,1,7,,,,,,,,5,6,2,5,6,5,6,2,5,6,4,6,3,3,3,4,7,4,4,5,5,2,35,2,1,,,control
